date,net_pnl
2026-01-01,0.0
2026-01-02,25.349999999999998
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.44
2026-01-06,316.09999999999997
2026-01-07,81.54999999999998
2026-01-08,96.22
2026-01-09,125.61
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,80.24
2026-01-13,166.72
2026-01-14,-9.290000000000001
2026-01-15,83.49
2026-01-16,268.46000000000004
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,9.610000000000001
2026-01-20,193.25
2026-01-21,303.75
2026-01-22,28.849999999999987
2026-01-23,470.27
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,10.8
2026-01-27,110.21000000000001
2026-01-28,8.12
2026-01-29,57.339999999999996
2026-01-30,930.16
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,456.4
2026-02-03,245.70999999999998
2026-02-04,317.63
2026-02-05,343.63
2026-02-06,229.1
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,12.56
2026-02-10,535.59
2026-02-11,174.57
2026-02-12,-8.07
2026-02-13,1037.19
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,1064.22
2026-02-17,362.07
2026-02-18,2104.87
2026-02-19,952.05
2026-02-20,710.38
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,430.62
2026-02-24,31.25
2026-02-25,699.52
2026-02-26,-11.889999999999993
2026-02-27,1652.35
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,-51.679999999999986
2026-03-03,485.11
2026-03-04,76.41
2026-03-05,816.92
2026-03-06,48.46000000000001
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,1425.54
2026-03-10,105.07
2026-03-11,262.11
2026-03-12,1016.3700000000001
2026-03-13,94.72
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,207.18
2026-03-17,613.9300000000001
2026-03-18,297.57
2026-03-19,0.0
2026-03-20,26.520000000000003
2026-03-21,0.0
2026-03-22,0.0
2026-03-23,57.1
2026-03-24,257.86
2026-03-25,-0.29000000000000004
2026-03-26,988.2
2026-03-27,5176.59
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,157.92000000000002
2026-03-31,1852.2800000000002
2026-04-01,78.2
2026-04-02,1327.1
2026-04-03,0.0
2026-04-04,0.0
2026-04-05,0.0
2026-04-06,325.34
2026-04-07,3261.99
2026-04-08,-5.52
2026-04-09,162.53
2026-04-10,1134.6299999999999
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,2418.16
2026-04-14,2841.7400000000002
2026-04-15,414.28999999999996
2026-04-16,1125.3100000000002
2026-04-17,1296.82
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,66.2
2026-04-21,-5.7
2026-04-22,-132.57
2026-04-23,-422.91
2026-04-24,-42.55
2026-04-25,0.0
2026-04-26,0.0
2026-04-27,342.29
2026-04-28,1.76
2026-04-29,0.0
2026-04-30,-5.73
2026-05-01,50.36
2026-05-02,0.0
2026-05-03,9.55
2026-05-04,477.80999999999995
2026-05-05,41.03
2026-05-06,-5.77
2026-05-07,153.02
2026-05-08,1858.03
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,556.4
2026-05-12,266.03
2026-05-13,946.98
2026-05-14,84.92999999999999
2026-05-15,-21.54
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,18.1
2026-05-19,-5.77
2026-05-20,0.0
2026-05-21,-60.349999999999994
2026-05-22,-420.09999999999997
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,-6.23
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,8.6
2026-05-29,4.74
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,37.91
2026-06-02,-21.73
2026-06-03,203.35
2026-06-04,38.92
2026-06-05,-74.52000000000001
2026-06-06,0.0
2026-06-07,0.0
2026-06-08,-53.36
2026-06-09,0.8999999999999999
2026-06-10,45.75999999999999
2026-06-11,44.08
2026-06-12,-18.76
2026-06-13,0.0
2026-06-14,0.0
2026-06-15,0.0
2026-06-16,-28.36
2026-06-17,-1.6500000000000001
2026-06-18,-168.67
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,0.0
