date,net_pnl
2026-01-01,0.0
2026-01-02,24.57
2026-01-03,0.0
2026-01-04,0.0
2026-01-05,0.0
2026-01-06,301.38
2026-01-07,80.76999999999998
2026-01-08,96.22
2026-01-09,8.52
2026-01-10,0.0
2026-01-11,0.0
2026-01-12,64.03
2026-01-13,98.22999999999999
2026-01-14,-10.740000000000002
2026-01-15,26.17000000000001
2026-01-16,255.9
2026-01-17,0.0
2026-01-18,0.0
2026-01-19,7.960000000000001
2026-01-20,167.98999999999998
2026-01-21,294.56
2026-01-22,18.79999999999999
2026-01-23,474.32
2026-01-24,0.0
2026-01-25,0.0
2026-01-26,-5.7299999999999995
2026-01-27,97.35
2026-01-28,8.12
2026-01-29,48.16
2026-01-30,875.0699999999999
2026-01-31,0.0
2026-02-01,0.0
2026-02-02,456.4
2026-02-03,241.73999999999998
2026-02-04,317.63
2026-02-05,323.08
2026-02-06,229.1
2026-02-07,0.0
2026-02-08,0.0
2026-02-09,12.56
2026-02-10,591.85
2026-02-11,164.26999999999998
2026-02-12,-8.07
2026-02-13,1037.19
2026-02-14,0.0
2026-02-15,0.0
2026-02-16,999.31
2026-02-17,192.13
2026-02-18,1717.99
2026-02-19,53.27
2026-02-20,710.38
2026-02-21,0.0
2026-02-22,0.0
2026-02-23,26.91
2026-02-24,31.25
2026-02-25,699.07
2026-02-26,98.33
2026-02-27,103.96
2026-02-28,0.0
2026-03-01,0.0
2026-03-02,0.0
2026-03-03,482.42
2026-03-04,76.41
2026-03-05,16.54
2026-03-06,39.46
2026-03-07,0.0
2026-03-08,0.0
2026-03-09,213.32
2026-03-10,35.8
2026-03-11,70.96
2026-03-12,103.38
2026-03-13,5.030000000000001
2026-03-14,0.0
2026-03-15,0.0
2026-03-16,7.4
2026-03-17,613.9300000000001
2026-03-18,297.57
2026-03-19,0.0
2026-03-20,26.520000000000003
2026-03-21,0.0
2026-03-22,0.0
2026-03-23,57.1
2026-03-24,307.18
2026-03-25,-0.29000000000000004
2026-03-26,45.150000000000006
2026-03-27,2704.19
2026-03-28,0.0
2026-03-29,0.0
2026-03-30,74.41
2026-03-31,190.82
2026-04-01,1.1
2026-04-02,995.4399999999999
2026-04-03,0.0
2026-04-04,0.0
2026-04-05,0.0
2026-04-06,218.65999999999997
2026-04-07,2927.5299999999997
2026-04-08,0.0
2026-04-09,-5.62
2026-04-10,142.1
2026-04-11,0.0
2026-04-12,0.0
2026-04-13,2324.6
2026-04-14,1849.55
2026-04-15,414.28999999999996
2026-04-16,1124.41
2026-04-17,302.31
2026-04-18,0.0
2026-04-19,0.0
2026-04-20,-27.220000000000002
2026-04-21,-5.7
2026-04-22,-207.18
2026-04-23,-422.91
2026-04-24,-42.55
2026-04-25,0.0
2026-04-26,0.0
2026-04-27,342.29
2026-04-28,1.76
2026-04-29,0.0
2026-04-30,-5.73
2026-05-01,50.36
2026-05-02,0.0
2026-05-03,9.55
2026-05-04,477.80999999999995
2026-05-05,30.45
2026-05-06,-5.77
2026-05-07,153.02
2026-05-08,1858.3799999999999
2026-05-09,0.0
2026-05-10,0.0
2026-05-11,510.38
2026-05-12,251.51999999999998
2026-05-13,137.07
2026-05-14,14.129999999999999
2026-05-15,-21.54
2026-05-16,0.0
2026-05-17,0.0
2026-05-18,18.1
2026-05-19,-5.77
2026-05-20,0.0
2026-05-21,-60.349999999999994
2026-05-22,-420.09999999999997
2026-05-23,0.0
2026-05-24,0.0
2026-05-25,-5.66
2026-05-26,0.0
2026-05-27,0.0
2026-05-28,0.0
2026-05-29,4.74
2026-05-30,0.0
2026-05-31,0.0
2026-06-01,37.91
2026-06-02,-21.73
2026-06-03,203.35
2026-06-04,38.92
2026-06-05,-74.52000000000001
2026-06-06,0.0
2026-06-07,0.0
2026-06-08,-53.36
2026-06-09,0.8999999999999999
2026-06-10,45.75999999999999
2026-06-11,44.08
2026-06-12,-18.76
2026-06-13,0.0
2026-06-14,0.0
2026-06-15,0.0
2026-06-16,-28.36
2026-06-17,-1.6500000000000001
2026-06-18,-168.67
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,0.0
