profit,return_per_dd,max_dd_pct,pf,trades,win_rate_pct,reason_counts,sim
946.9955013262257,71.19090807051795,13.30219724670715,2.2197878913024516,62,87.09677419354838,"{'trail': 52, 'sl': 10}",0
360.2571740338896,36.09438015852082,9.980976884814117,1.8195631431101285,38,86.8421052631579,"{'trail': 30, 'sl': 6, 'max_bars': 1, 'tp': 1}",1
1040.2035677398583,234.98011731745015,4.426772697260078,4.27521286130531,56,87.5,"{'trail': 46, 'sl': 10}",2
1151.2618016675558,460.5055625773274,2.4999954294238034,15.61185582388575,52,96.15384615384616,"{'trail': 49, 'sl': 2, 'tp': 1}",3
689.7158362791384,75.95185577773816,9.080960948439358,3.5700503949964286,47,91.48936170212765,"{'trail': 42, 'sl': 4, 'max_bars': 1}",4
651.3611029991863,44.53524833618244,14.625743143549313,1.911996848661598,49,83.6734693877551,"{'trail': 40, 'sl': 8, 'max_bars': 1}",5
1029.8165765089368,278.79247146772684,3.6938464338272095,5.858847403124922,53,90.56603773584906,"{'trail': 46, 'sl': 6, 'tp': 1}",6
870.592540613344,148.66034860698142,5.856252516365074,2.4929572861512246,55,89.0909090909091,"{'trail': 47, 'sl': 7, 'max_bars': 1}",7
777.597885653048,40.31553225075039,19.28779907497252,2.2512888932935353,56,85.71428571428571,"{'trail': 46, 'sl': 7, 'max_bars': 2, 'tp': 1}",8
767.4743989755184,61.44387079402131,12.49065836929981,2.5771192024403677,54,88.88888888888889,"{'trail': 46, 'sl': 8}",9
442.8905517659137,37.32461305861322,11.865911404638394,2.130220849515831,40,87.5,"{'trail': 32, 'sl': 7, 'tp': 1}",10
723.8410594184467,105.10448441604989,6.886871320857868,4.755015238336021,49,91.83673469387756,"{'trail': 42, 'sl': 4, 'tp': 2, 'max_bars': 1}",11
841.5471949144829,1463.9825564554528,0.5748341680737028,38.5066480911062,47,95.74468085106383,"{'trail': 44, 'sl': 3}",12
1106.0596579066043,80.87808051316449,13.675641791802558,2.961594878801764,57,85.96491228070175,"{'trail': 44, 'sl': 11, 'tp': 2}",13
804.3659534538009,50.00268859577655,16.086454069626594,2.485812882320412,58,87.93103448275862,"{'trail': 48, 'sl': 6, 'tp': 3, 'max_bars': 1}",14
857.5002425088257,357.7305305131681,2.397056357696764,10.659040001469815,49,93.87755102040816,"{'trail': 43, 'sl': 4, 'max_bars': 1, 'tp': 1}",15
403.60603942172946,25.68326010384579,15.714751078711142,1.5274615748265543,55,87.27272727272727,"{'trail': 45, 'sl': 7, 'tp': 2, 'max_bars': 1}",16
1220.6875091794332,189.4170996086855,6.444441983861207,5.974018680143152,51,94.11764705882352,"{'trail': 45, 'sl': 5, 'max_bars': 1}",17
465.93317234164306,44.837897136352595,10.391503663178819,1.7375792930743055,53,86.79245283018868,"{'trail': 43, 'sl': 10}",18
1562.7454656572688,294.3941329066789,5.308344464027241,4.79767749528208,65,86.15384615384616,"{'trail': 50, 'sl': 10, 'tp': 4, 'max_bars': 1}",19
762.2838573779452,47.20566886319599,16.148142283230342,2.333717996772844,56,83.92857142857143,"{'trail': 44, 'sl': 8, 'tp': 2, 'max_bars': 2}",20
